username,tweet,retweets_count,likes_count
fearnot_39,비타500 광고 티저 진짜 르세라핌스럽다  https://t.co/q04BtklVoJ,3,8
eunchae_mp4,비타500제로 광고 티저 #르세라핌  https://t.co/LSK51S6azW,12,10
kazuha_river,르세라핌 뮤비팀에서 만드셧나요,1,2
naewaymedia,"광동제약, ‘비타500 제로’ 모델에 르세라핌 발탁  https://t.co/gKz0RqCUVE",0,1
gf_eastern0116,230322 @k_a_z_u_h_a__ KAZUHA Personal Instagram Update (1/3)  CK🫶@calvinklein   https://t.co/dEe9EMGRKR #르세라핌 #LE_SSERAFIM  #카즈하 #KAZUHA  https://t.co/hE7WvYPMqV,0,1
96area,#LE_SSERAFIM 광고 TEASER!  𝘼𝙣𝙩𝙞 𝙩𝙞 𝙩𝙞 𝙩𝙞 𝙛𝙧𝙖𝙜𝙞𝙡𝙚 𝙛𝙧𝙖𝙜𝙞𝙡𝙚💙  𝘼𝙣𝙩𝙞𝙛𝙧𝙖𝙜𝙞𝙡𝙚한 짱세라핌이  PICK한 광동제약 음료!  #LE_SSERAFIM #르세라핌 #김채원 #KIMCHAEWON #사쿠라 #SAKURA #허윤진 #HUHYUNJIN #카즈하 #KAZUHA #홍은채 #HONGEUNCHAE  https://t.co/HsMhv1Bw8Y,30,28
kchw801_3,비타500제로 광고 티저 #르세라핌 #LE_SSERAFIM   https://t.co/qaOYinN7fa  https://t.co/KKsoamzSYu,187,147
bduwnsjw,르세라핌 피어나존 럭드 입장 포카 양도   일괄 43.0  ㅅㅊㅇ 르세라핌 카즈하 홍은채 허윤진 김체원 사쿠라 콘서트 팬미팅 포카 분철 양도 특전 입장 피어나다 피어나존  https://t.co/oA2q7Wrv3w,1,3
lilfir,kwangdong_official Instagram Reel  #LE_SSERAFIM 광고 TEASER!  𝘼𝙣𝙩𝙞 𝙩𝙞 𝙩𝙞 𝙩𝙞 𝙛𝙧𝙖𝙜𝙞𝙡𝙚 𝙛𝙧𝙖𝙜𝙞𝙡𝙚💙  𝘼𝙣𝙩𝙞𝙛𝙧𝙖𝙜𝙞𝙡𝙚한 짱세라핌이 PICK한 광동제약 음료!  @_광동제약? 더 높이 가줄게~ ᕦ(ò_óˇ)ᕤ   https://t.co/hygTwDLsZl  #르세라핌 #LE_SSERAFIM @le_sserafim  https://t.co/PSDpGnai2a,2,2
le_sserafim,[EVENT] 230324 KBS2 뮤직뱅크 (은채 MC) 참여 안내  📍  https://t.co/Uh0wndjGk0  #르세라핌 #LE_SSERAFIM,221,1242
